1;20120621T0100;80
1;20120621T0200;80
1;20120621T0300;80
1;20120621T0400;80
1;20120621T0500;80
1;20120621T0600;400
1;20120621T0700;670
1;20120621T0800;800
1;20120621T0900;860
1;20120621T1000;860
1;20120621T1100;860
1;20120621T1200;860
1;20120621T1300;770
1;20120621T1400;770
1;20120621T1500;500
1;20120621T1600;500
1;20120621T1700;500
1;20120621T1800;500
1;20120621T1900;600
1;20120621T2000;820
1;20120621T2100;820
1;20120621T2200;820
1;20120621T2300;610
1;20120621T2400;80
2;20120621T0100;40
2;20120621T0200;40
2;20120621T0300;40
2;20120621T0400;40
2;20120621T0500;70
2;20120621T0600;80
2;20120621T0700;90
2;20120621T0800;120
2;20120621T0900;160
2;20120621T1000;140
2;20120621T1100;140
2;20120621T1200;140
2;20120621T1300;160
2;20120621T1400;100
2;20120621T1500;70
2;20120621T1600;80
2;20120621T1700;90
2;20120621T1800;100
2;20120621T1900;140
2;20120621T2000;140
2;20120621T2100;140
2;20120621T2200;140
2;20120621T2300;140
2;20120621T2400;0
3;20120621T0100;80
3;20120621T0200;80
3;20120621T0300;80
3;20120621T0400;80
3;20120621T0500;80
3;20120621T0600;400
3;20120621T0700;600
3;20120621T0800;680
3;20120621T0900;700
3;20120621T1000;720
3;20120621T1100;720
3;20120621T1200;720
3;20120621T1300;700
3;20120621T1400;700
3;20120621T1500;430
3;20120621T1600;430
3;20120621T1700;430
3;20120621T1800;430
3;20120621T1900;460
3;20120621T2000;680
3;20120621T2100;680
3;20120621T2200;680
3;20120621T2300;470
3;20120621T2400;80
